,Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking
1436,Le Diamant,3.0,1423.0,------16369.-1.334.,--$$-$$$---------,302,"55.679066,12.580251",267.0,3.5,Europæisk,"Østergade 59 Storget Copenhagen Denmark, København 1100 Danmark",3.5,3.5,3.5,$$-$$$,2,-1423.0,91
1433,Dalle Valle Amager,3.0,1415.0,"------16,",--$---,78,"55.66285,12.60383",2268.0,4.0,Dansk,"Reberbanegade 3 Amager, København Danmark",4.0,3.5,3.0,$,1,-1415.0,92
1391,Skagen,3.0,1407.0,"------16,,,",--$$-$$$---,66,"55.68032,12.589267",321.0,3.5,Dansk,"Nyhavn, København Danmark",3.5,4.0,4.5,$$-$$$,2,-1407.0,93
1395,Kaffesalonen,3.0,1402.0,"------16,,",--$$-$$$------,87,"55.68643,12.562005",1565.0,3.0,Café,"Peblinge Dossering 6, København Danmark",3.0,3.0,3.0,$$-$$$,2,-1402.0,94
1387,Guldmagerens Cafe,3.0,1400.0,"------16,,,",--$$-$$$---,68,"55.679478,12.592275",510.0,3.5,Dansk,"Nyhavn 61, København 1051 Danmark",3.5,3.5,,$$-$$$,2,-1400.0,95
1351,Couloir,3.0,1370.0,------1680.-174.,--$$-$$$---,188,"55.661667,12.631968",3622.0,3.0,Dansk,"Amager Strandvej 112, København 2300 Danmark",3.5,3.5,3.5,$$-$$$,2,-1370.0,96
1329,Price's diner,3.0,1323.0,------16101.-148.,--$$-$$$------,231,"55.674053,12.567838",1219.0,3.5,Amerikansk,"Vesterbrogade 3 Tivoli, København 1630 Danmark",3.0,3.0,,$$-$$$,2,-1323.0,97
1324,Promenaden Tivoli,3.0,1322.0,------161.006.-2.347.,--$$-$$$,262,"55.673534,12.5673",1279.0,3.5,Bar,"Vesterbrogade 3 Tivoli Gardens, København 1630 Danmark",3.5,3.5,3.5,$$-$$$,2,-1322.0,98
1288,Le President,3.0,1267.0,"------16,",--$$-$$$---------,376,"55.678833,12.578711",366.0,3.5,International,"Stroget Amagertorv 9, København 1161 Danmark",3.5,3.5,3.5,$$-$$$,2,-1267.0,99
1232,Restaurant Rio Bravo,3.0,1251.0,"------16,,",--$$-$$$---,436,"55.674213,12.572828",958.0,3.0,Dansk,"Vester Voldgade 86, København Danmark",3.0,3.0,3.0,$$-$$$,2,-1251.0,100
1131,Mazzoli's,3.0,1131.0,------16101.-174.,--$$-$$$---------,232,"55.67446,12.568292",1170.0,3.5,Italiensk,"Vesterbrogade 3, København 1670 Danmark",3.0,3.5,3.5,$$-$$$,2,-1131.0,101
995,Jensens Bøfhus København (Axeltorv),3.0,1013.0,"------16,,,",--$$-$$$---------,348,"55.67616,12.564306",1317.0,3.0,Europæisk,"Axeltorv 6, København 1609 Danmark",3.0,3.0,2.5,$$-$$$,2,-1013.0,102
1981,Backstage Bar & Restaurant,3.0,160.0,"------16,",--$$-$$$,16,"55.67973,12.53345",3181.0,3.0,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Falkoner Alle 9, Frederiksberg, København 2000 Danmark",3.0,3.0,,$$-$$$,2,-160.0,103
1969,Joe & The Juice,3.0,159.0,,--$$$$$$,1 anmeldelse,"55.678,12.53428",3137.0,,,"Gl. Kongevej 98, Frederiksberg, København 1850 Danmark",,,,$$$$$$,99,-159.0,104
1968,Mr. Rice,3.0,158.0,------16,---,1 anmeldelse,"55.68712,12.531334",3407.0,,Thai,"Godthåbsvej 48, Frederiksberg, København 2000 Danmark",,,,$$$$$$,99,-158.0,105
