id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
112;course_mapping;requests;1566547592.766435;-0.8235201835632324;https://www.tripadvisor.com/RestaurantSearch-g189541-o1020-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1020-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;741659;200;True;
113;course_mapping;requests;1566547594.5934203;-0.8031206130981445;https://www.tripadvisor.com/RestaurantSearch-g189541-o1050-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1050-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;746523;200;True;
114;course_mapping;requests;1566547596.4010684;-0.911531925201416;https://www.tripadvisor.com/RestaurantSearch-g189541-o1080-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1080-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;741783;200;True;
115;course_mapping;requests;1566547598.317632;-1.0018682479858398;https://www.tripadvisor.com/RestaurantSearch-g189541-o1110-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1110-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;748211;200;True;
116;course_mapping;requests;1566547600.32604;-0.8536489009857178;https://www.tripadvisor.com/RestaurantSearch-g189541-o1140-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1140-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;744691;200;True;
117;course_mapping;requests;1566547602.211491;-0.8431439399719238;https://www.tripadvisor.com/RestaurantSearch-g189541-o1170-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1170-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;747761;200;True;
118;course_mapping;requests;1566547604.0597022;-0.8562555313110352;https://www.tripadvisor.com/RestaurantSearch-g189541-o1200-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1200-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;748195;200;True;
119;course_mapping;requests;1566547605.9256203;-0.8147790431976318;https://www.tripadvisor.com/RestaurantSearch-g189541-o1230-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1230-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;738117;200;True;
120;course_mapping;requests;1566547607.7536054;-1.0369114875793457;https://www.tripadvisor.com/RestaurantSearch-g189541-o1260-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1260-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;746425;200;True;
121;course_mapping;requests;1566547609.7972393;-0.8477609157562256;https://www.tripadvisor.com/RestaurantSearch-g189541-o1290-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1290-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;742370;200;True;
122;course_mapping;requests;1566547611.6488984;-0.8420789241790771;https://www.tripadvisor.com/RestaurantSearch-g189541-o1320-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;https://www.tripadvisor.com/RestaurantSearch-g189541-o1320-a_date.2019__2D__08__2D__22-a_people.2-a_time.20%3A00%3A00-a_zur.2019__5F__08__5F__22-Copenhag.html#EATERY_LIST_CONTENTS;729735;200;True;
