,Unnamed: 0,Location,Ranking on list,Price class numeric,Restaurant,Postal code,Pizza,Sushi,Fisk og skaldyr,Thai,Café,Italiensk,Indisk,Mexicansk,Steakhouse,City Area
181,181,"55.66447,12.60274",1970.0,99,Jabob's Bageri,,0,0,0,0,0,0,0,0,0,andet
182,182,"55.67692,12.57394",1969.0,99,Strædets Kaffebar,1466,0,0,0,0,0,0,0,0,0,kbh k
183,183,"55.65353,12.61129",1968.0,99,Columbia Chicken & Burger,2300,0,0,0,0,0,0,0,0,0,kbh s
184,184,"55.67132,12.546208",1967.0,3,Kuzhi,1620,0,0,0,0,0,0,0,0,0,kbh v
185,185,"55.66408,12.53609",1966.0,99,Nordic Noodles,1799,0,0,0,0,0,0,0,0,0,kbh v
186,186,"55.71409,12.57728",1964.0,99,Cafe Suhrs,2100,0,0,0,0,0,0,0,0,0,kbh ø
187,187,"55.66693,12.59772",1963.0,99,Shiimi - A New Taste of Thailand,2300,0,0,0,1,0,0,0,0,0,kbh s
188,188,"55.63826,12.57757",1962.0,2,AC Lounge,2300,0,0,0,0,0,0,0,0,0,kbh s
189,189,"55.69615,12.54583",1961.0,99,Mecca,2200 N,0,0,0,0,0,0,0,0,0,andet
190,190,"55.67796,12.5712",1960.0,2,Woodhouse Lounge,1630,0,0,0,0,0,0,0,0,0,kbh v
191,191,"55.66558,12.534884",1959.0,99,Elefanten,,0,0,0,0,0,0,0,0,0,andet
192,192,"55.70115,12.5954",1958.0,2,Restaurant Little Italy,2100,1,0,0,0,0,1,0,0,0,kbh ø
193,193,"55.66431,12.60197",1957.0,99,Smorhullet,,1,0,0,0,0,0,1,0,0,andet
194,194,"55.68503,12.58814",1953.0,99,Gorm bakery,1264,0,0,0,0,0,0,0,0,0,kbh k
195,195,"55.6855,12.55197",1950.0,99,Brod Vaerten,2200,0,0,0,0,0,0,0,0,0,kbh n
196,196,"55.682705,12.563938",1948.0,1,Guldgrillen,,0,0,0,0,0,0,0,0,0,andet
197,197,"55.689606,12.599704",1947.0,2,The Harbour Grill,1259,0,0,0,0,0,0,0,0,0,kbh k
198,198,"55.681686,12.582208",1946.0,2,Lou Lou,1103,0,0,0,0,0,0,0,0,0,kbh k
199,199,"55.67841,12.573333",1944.0,99,Gelato Italiano,1164,0,0,0,0,0,1,0,0,0,kbh k
200,200,"55.69375,12.608222",1938.0,2,Grab ’n' Go Burgers,1432,0,0,0,0,0,0,0,0,0,kbh k
201,201,"55.71229,12.57723",1937.0,99,Spicy Lounge,2100,0,0,0,0,0,0,0,0,0,kbh ø
202,202,"55.69582,12.55023",1936.0,99,wokAmok,2200,0,0,0,1,0,0,0,0,0,kbh n
203,203,"55.63099,12.57589",1933.0,99,Café La Vento,2300,0,0,0,0,0,0,0,0,0,kbh s
204,204,"55.67502,12.580593",1932.0,99,Mama Mia,,0,0,0,0,0,1,0,0,0,andet
205,205,"55.6721,12.56296",1931.0,99,Great China,1652,0,0,0,0,0,0,0,0,0,kbh v
206,206,"55.66799,12.57947",1929.0,2,Sushiya,2300,0,1,0,0,0,0,0,0,0,kbh s
207,207,"55.663437,12.563917",1928.0,1,Just Thai,,0,0,0,1,0,0,0,0,0,andet
208,208,"55.692734,12.567799",1927.0,2,Guldkroen 11,2200,0,0,0,0,0,0,0,0,0,kbh n
209,209,"55.673428,12.596042",1925.0,2,Café B,,0,0,0,0,0,1,0,0,0,andet
210,210,"55.68219,12.582536",1921.0,2,Amarone,,1,0,0,0,0,1,0,0,0,andet
211,211,"55.68817,12.56027",1911.0,99,King Of Kebab Pizza & Grill,2200,0,0,0,0,0,0,0,0,0,kbh n
212,212,"55.67353,12.56497",1910.0,2,YamYam,1570,0,0,0,0,0,0,0,0,0,kbh v
213,213,"55.67999,12.57512",1905.0,99,Rendez,,0,0,0,0,0,0,0,0,0,andet
214,214,"55.69942,12.54348",1902.0,99,Café Le Rouge,2200,0,0,0,0,0,0,0,0,0,kbh n
215,215,"55.63103,12.57589",1893.0,2,Mediterranean Kitchen,2300,0,0,0,0,0,0,0,0,0,kbh s
216,216,"55.670475,12.560553",1888.0,2,Cucinetta,,0,0,0,0,0,1,0,0,0,andet
217,217,"55.6795,12.59776",1883.0,1,Bulko,1436,0,0,0,0,0,0,0,0,0,kbh k
218,218,"55.677723,12.572969",1870.0,2,Mät Copenhagen,1450,0,0,0,0,0,0,0,0,0,kbh k
219,219,"55.680866,12.577",1867.0,99,Sunset Boulevard,1150,0,0,0,0,0,0,0,0,0,kbh k
220,220,"55.67502,12.580593",1858.0,2,cafe Emil,2500,0,0,0,0,1,0,0,0,0,valby
221,221,"55.657536,12.566867",1841.0,2,Wabiwabi Sushi & More,2300,0,1,0,0,0,0,0,0,0,kbh s
222,222,"55.67435,12.565299",1838.0,2,Vapiano Tivoli,1630,1,0,0,0,0,1,0,0,0,kbh v
223,223,"55.67917,12.57593",1835.0,1,Sultan Palace,,0,0,0,0,0,0,0,0,0,andet
224,224,"55.676792,12.595664",1833.0,2,Krôyers,,0,0,0,0,1,0,0,0,0,andet
225,225,"55.647,12.54997",1832.0,2,La focaccia,2450,0,0,0,0,0,1,0,0,0,kbh sv
226,226,"55.664635,12.600342",1811.0,2,Cock's & Cows Prags Blvd,2300,0,0,0,0,0,0,0,0,0,kbh s
227,227,"55.68458,12.567803",1800.0,1,Taco Diner,1364,0,0,0,0,0,0,0,1,0,kbh k
228,228,"55.70114,12.58015",1785.0,2,Rice and Rice,2100,0,0,0,1,0,0,0,0,0,kbh ø
229,229,"55.69665,12.58087",1782.0,2,Hanoi,,0,0,0,0,0,0,0,0,0,andet
230,230,"55.65498,12.564678",1750.0,2,Café Nöah,2300,0,0,0,0,0,0,0,0,0,kbh s
231,231,"55.680054,12.575501",1743.0,2,Tapas G.,1155,0,0,0,0,0,0,0,0,0,kbh k
232,232,"55.667294,12.586422",1733.0,3,Kyoto Restaurant,,0,1,0,0,0,0,0,0,0,andet
233,233,"55.673317,12.560267",1653.0,1,Nibon Ya,1620,0,1,0,0,0,0,0,0,0,kbh v
234,234,"55.66694,12.558911",1632.0,2,Cock's & Cows Kødbyen,1714,0,0,0,0,0,0,0,0,0,kbh v
235,235,"55.673885,12.568485",1631.0,2,LETZ SUSHI TIVOLI DET JAPANSKE TÅRN,1630,0,1,0,0,0,0,0,0,0,kbh v
236,236,"55.67982,12.591424",1623.0,1,L'Olivo,1051,0,0,0,0,0,1,0,0,0,kbh k
237,237,"55.666847,12.59818",1606.0,2,Indien Maharaja Restaurant,2300,0,0,0,0,0,0,1,0,0,kbh s
238,238,"55.69229,12.5522",1591.0,2,Gaarden & Gaden,2200,0,0,0,0,0,0,0,0,0,kbh n
239,239,"55.696068,12.574765",1550.0,2,Café Livingstone,2100,0,0,0,0,1,0,0,0,0,kbh ø
240,240,"55.679066,12.580251",1423.0,2,Le Diamant,1100,0,0,0,0,0,1,0,0,0,kbh k
241,241,"55.66285,12.60383",1415.0,1,Dalle Valle Amager,,0,0,0,0,0,0,0,0,0,andet
242,242,"55.68032,12.589267",1407.0,2,Skagen,,0,0,1,0,0,0,0,0,0,andet
243,243,"55.68643,12.562005",1402.0,2,Kaffesalonen,,0,0,0,0,1,0,0,0,0,andet
244,244,"55.679478,12.592275",1400.0,2,Guldmagerens Cafe,1051,0,0,0,0,0,0,0,0,0,kbh k
245,245,"55.661667,12.631968",1370.0,2,Couloir,2300,0,0,0,0,0,0,0,0,0,kbh s
246,246,"55.674053,12.567838",1323.0,2,Price's diner,1630,0,0,0,0,0,0,0,0,0,kbh v
247,247,"55.673534,12.5673",1322.0,2,Promenaden Tivoli,1630,0,0,0,0,0,0,0,0,0,kbh v
248,248,"55.678833,12.578711",1267.0,2,Le President,1161,0,1,0,0,0,0,0,0,0,kbh k
249,249,"55.674213,12.572828",1251.0,2,Restaurant Rio Bravo,,0,0,0,0,0,0,0,0,0,andet
250,250,"55.67446,12.568292",1131.0,2,Mazzoli's,1670,1,0,0,0,0,1,0,0,0,kbh v
251,251,"55.67616,12.564306",1013.0,2,Jensens Bøfhus København (Axeltorv),1609,0,0,0,0,0,0,0,0,1,kbh v
252,252,"55.679474,12.521103",171.0,2,Pause,2000,0,0,0,0,1,1,0,0,0,frb.
253,253,"55.68013,12.53404",170.0,1,McDonald's,2000,0,0,0,0,0,0,0,0,0,frb.
254,254,"55.68459,12.50217",167.0,1,Cafe A,2000,0,0,0,0,0,0,0,0,0,frb.
255,255,"55.67874,12.53181",165.0,1,Happy Sushi,2000,0,0,0,0,0,0,0,0,0,frb.
256,256,"55.67113,12.53143",164.0,2,Fuji sushi,2000,0,1,0,0,0,0,0,0,0,frb.
257,257,"55.67486,12.53316",163.0,2,Kellerdirk,1820,0,0,0,0,0,0,0,0,0,frb.
258,258,"55.678627,12.532851",162.0,99,The Old Irish Pub,2000,0,0,0,0,0,0,0,0,0,frb.
259,259,"55.67711,12.53901",161.0,2,XO Burgers and Steaks,1850,0,0,0,0,0,0,0,0,1,frb.
260,260,"55.67973,12.53345",160.0,2,Backstage Bar & Restaurant,2000,0,0,0,0,0,0,0,0,0,frb.
261,261,"55.678,12.53428",159.0,99,Joe & The Juice,1850,0,0,0,0,0,0,0,0,0,frb.
262,262,"55.68712,12.531334",158.0,99,Mr. Rice,2000,0,0,0,1,0,0,0,0,0,frb.
263,263,"55.68473,12.54063",155.0,2,Akiba Sushi & Wok,1958,0,0,0,0,0,0,0,0,0,frb.
264,264,"55.67149,12.53114",130.0,2,M.G. Petersens Familiehave,2000,0,0,0,0,0,0,0,0,0,frb.
265,265,"55.67569,12.532722",126.0,2,Cafe Phenix,2000,0,0,0,0,1,0,0,0,0,frb.
266,266,"55.679638,12.575429",2181.0,2,Restaurant Amalfi,1154,0,0,0,0,0,1,0,0,0,kbh k
267,267,"55.68222,12.582917",2176.0,1,Kebaben,1123,1,0,0,0,0,1,0,0,0,kbh k
268,268,"55.701054,12.541503",2161.0,1,Express Pizza,2200,1,0,0,0,0,0,0,0,0,kbh n
269,269,"55.66839,12.561917",2160.0,1,The Jock,1699,0,0,0,0,0,0,0,0,0,kbh v
270,270,"55.67944,12.575181",2140.0,2,Eros,1157,0,0,0,0,0,0,0,0,0,kbh k
271,271,"55.692974,12.551019",2134.0,1,Burgerklubben,2200,0,0,0,0,0,0,0,0,0,kbh n
272,272,"55.66179,12.62939",2047.0,1,Retreat,2300,0,0,0,0,0,0,0,0,0,kbh s
273,273,"55.70071,12.57935",1990.0,2,LETZ SUSHI ØSTERBRO,2100,0,1,0,0,0,0,0,0,0,kbh ø
274,274,"55.70379,12.59066",1956.0,2,Vietnam,2100,0,0,0,0,0,0,0,0,0,kbh ø
